airport,location
Biju Patnaik International Airport,Barth
Bitburg Airport,Odisha
Kasane Airport,Rhineland-Palatinate
Ballera Airport,Botswana
Battambang Airport,Queensland
Bario Airport,Cambodia
Berbera Airport,Sarawak
Bembridge Airport,Somalia
Barbuda Codrington Airport,England
Baillif Airport,Antigua and Barbuda
Blackbushe Airport,Guadeloupe
Berbérati Airport,England
Aurel Vlaicu International Airport,Central African Republic
Nero-Mer Airport,Romania
Broken Bow Municipal Airport,Ivory Coast
Wings Field,Nebraska
Bambari Airport,Pennsylvania
Zambezi Airport,Central African Republic
Lamar Municipal Airport,Colorado
Kasama Airport,Zambia
Jalalabad Airport,Afghanistan
Vigo–Peinador Airport,Galicia
General Villegas Airport,Buenos Aires
North Las Vegas Airport,Nevada
Villa Garzón Airport,Colombia
Henrique de Carvalho Airport,Angola
Vilhelmina Airport,Sweden
Culberson County Airport,Texas
Verkhnevilyuysk Airport,Yakutia
Vichy — Charmeil Airport,Auvergne
Vahitahi Airport,Tuamotus
Ângelo Ponzoni Municipal Airport,Santa Catarina
Villa Constitución Airport,Baja California Sur
Vicenza Airport,Veneto
Igarka Airport,Krasnoyarsk Krai
Hasvik Airport,Norway
Guamal Airport,Colombia
Faranah Airport,Guinea
Tapachula International Airport,Chiapas
Tarcoola Airport,South Australia
Taranto-Grottaglie Airport,Apulia
Tashkent International Airport,Uzbekistan
Poprad–Tatry Airport,Slovakia
Tauramena Airport,Colombia
Tau Airport,American Samoa
Tacuarembó Airport,Uruguay
Taliabu Airport,Indonesia
Tartu Airport,Estonia
Daşoguz Airport,Turkmenistan
Tabibuga Airport,Papua New Guinea
Dong Tac Airport,Vietnam
Tuba City Airport,Arizona
Timbiquí Airport,Colombia
Timbunke Airport,Papua New Guinea
Tabiteuea North Airport,Kiribati
Tabubil Airport,Papua New Guinea
Sambú Airport,Turkey
Siena–Ampugnano Airport,Panama
Sasstown Airport,Tuscany
Santa Barbara Municipal Airport,Liberia
Santa Bárbara de Barinas Airport,California
Selbang Airport,Venezuela
San Bernardino International Airport,Papua New Guinea
Suabi Airport,California
Sardeh Band Airport,Papua New Guinea
Maimun Saleh Airport,Afghanistan
Gustaf III Airport,Indonesia
Sambailo Airport,Saint Barthélemy
São Mateus Airport,Guinea
Saint-Brieuc – Armor Airport,Espírito Santo
Santa Ana del Yacuma Airport,Brittany
Sheboygan County Memorial Airport,Bolivia
South Bend International Airport,Wisconsin
Salina-Gunnison Airport,Indiana
San Luis Obispo County Regional Airport,Gunnison
Arawa Airport,Papua New Guinea
Oram Airport,Papua New Guinea
Rawalakot Airport,Pakistan
Rabat–Salé Airport,Morocco
Borba Airport,Amazonas
Robinvale Airport,Victoria
Dallas Executive Airport,Texas
Ratanakiri Airport,Cambodia
Big Bear City Airport,California
Roseburg Regional Airport,Oregon
Rabi Airport,Fiji
Rebun Airport,Rebun Island
French Valley Airport,Temecula
Red Bluff Municipal Airport,California
Straubing Wallmühle Airport,Bavaria
Roboré Airport,Bolivia
Rabaraba Airport,Papua New Guinea
Rurrenabaque Airport,Bolivia
Plácido de Castro International Airport,Acre
Dhaalu Airport,Maldives
Dandong Langtou Airport,Liaoning
Dodoima Airport,Papua New Guinea
Delta Downs Airport,Queensland
Dadu Airport,Pakistan
Dera Ghazi Khan International Airport,Pakistan
Debrecen International Airport,Hungary
Decatur Airport,Illinois
Jolly Grant Airport,Uttarakhand
Yuzhno-Kurilsk Mendeleyevo Airport,Sakhalin Oblast
Dezful Airport,Iran
Decorah Municipal Airport,Iowa
Denis Island Airport,Seychelles
Indira Gandhi International Airport,Ethiopia
Dembidolo Airport,Colorado
Denver International Airport,Arunachal Pradesh
Daporijo Airport,Zhejiang
Deqing Moganshan Airport,Papua New Guinea
Derim Airport,Seychelles
Desroches Airport,Michigan
Northern Peninsula Airport,Queensland
Albina Airstrip,Suriname
Aboisso Airport,Côte d'Ivoire
Atkamba Airport,Papua New Guinea
Albuquerque International Sunport,New Mexico
Aberdeen Regional Airport,South Dakota
Abu Simbel Airport,Egypt
Al-Baha Domestic Airport,Saudi Arabia
Haliwen Airport,Indonesia
Nnamdi Azikiwe International Airport,Nigeria
Abau Airport,Papua New Guinea
Albury Airport,New South Wales
Southwest Georgia Regional Airport,Georgia
Aberdeen Airport,Scotland
General Juan N. Álvarez International Airport,Guerrero
Antrim County Airport,Michigan
Kotoka International Airport,Ghana
Alcides Fernández Airport,Colombia
Lanzarote Airport,Canary Islands
St. Gallen–Altenrhein Airport,Switzerland
Alderney Airport,Channel Islands
Colby Municipal Airport,Venezuela
Tomás de Heres Airport,Mississippi
Columbus Air Force Base,Indonesia
Penggung Airport,Philippines
Awang Airport,Portugal
Coimbra Airport,Nigeria
Margaret Ekpo International Airport,Australian Capital Territory
Canberra Airport,Venezuela
Oro Negro Airport,Angola
Catumbela Airport,Brandenburg
Cottbus-Drewitz Airport,Guatemala
Cobán Airport,Paraná
Campo Mourão Airport,New South Wales
Condobolin Airport,Queensland
Canobie Airport,Cochabamba
Chimore Airport,California
Cable Airport,Cuba
Jardines del Rey Airport,Languedoc-Roussillon
Carcassonne Airport,Texas
Crane County Airport,Chile
Queenstown Airport,Tasmania
Quelimane Airport,Mozambique
Urengoy Airport,Yamalo-Nenets Autonomous Okrug
Kumejima Airport,Okinawa Islands
Waukesha County Airport,Wisconsin
Quetta International Airport,Pakistan
Ufa International Airport,Bashkortostan
Bulgan Airport,Mongolia
Ugashik Bay Airport,Alaska
Urgench International Airport,Uzbekistan
San Juan (Uganik) Seaplane Base,Alaska
Union Glacier Blue-Ice Runway,Ellsworth Mountains
Waukegan National Airport,Illinois
Uíge Airport,Angola
Ugashik Airport,Alaska
Bulagtai Airport,Mongolia
Bilogai Airport,Indonesia
Kunovice Airport,Czech Republic
El Caraño Airport,Colombia
Napuka Airport,Tuamotus
Nevşehir Kapadokya Airport,Turkey
Narathiwat Airport,Thailand
Beijing Nanyuan Airport,Solomon Islands
Nana Airport,Papua New Guinea
Nambaiyufa Airport,Colombia
Barranco Minas Airport,Naberezhnye Chelny
Begishevo Airport,Tunisia
Enfidha-Hammamet International Airport,Louisiana
NAS JRB New Orleans,New South Wales
Nambucca Heads Airport,Panama
Wannukandi Airport,Equatorial Guinea
Annobón Airport,Kenya
Jomo Kenyatta International Airport,Jilin
Changbaishan Airport,Cuba
Leeward Point Field,Indonesia
Nabire Airport,British Overseas Territory
North Caicos Airport,Provence-Alpes-Côte d'Azur
Nice Côte d'Azur Airport,Chihuahua
Nuevo Casas Grandes Municipal Airport,Tanzania
El Naranjo Airport,Philippines
Enniskillen/St Angelo Airport,Guatemala
Centralia Municipal Airport,Northern Ireland
Nenana Municipal Airport,Illinois
Teniente Amin Ayub Gonzalez Airport,Alaska
Enschede Airport Twente,Paraguay
Enewetak Auxiliary Airfield,Netherlands
Akanu Ibiam International Airport,Marshall Islands
Wendover Airport,Nigeria
Kenosha Regional Airport,Utah
Yan'an Nanniwan Airport,Wisconsin
Olaya Herrera Airport,Shaanxi
Eday Airport,Colombia
Keokuk Municipal Airport,Scotland
El Dorado Airport,Iowa
Neosho Hugh Robinson Airport,Venezuela
Elorza Airport,Missouri
El Palomar Airport,Venezuela
Pambwa Airport,Bahia
Port-de-Paix Airport,Papua New Guinea
Pamol Airport,Haiti
El Tajín National Airport,Sabah
Paranaíba Airport,Veracruz
Hermanos Serdán International Airport,Mato Grosso do Sul
Porbandar Airport,Puebla
Morela Airport,Gujarat
Grider Field,Colombia
Plattsburgh International Airport,Arkansas
Paro International Airport,New York
Palm Beach International Airport,Bhutan
Paama Airport,Florida
Bartolomé Salom Airport,Vanuatu
Johan Adolf Pengel International Airport,Venezuela
Miramichi Airport,New Brunswick
Colville Lake/Tommy Kochon Aerodrome,Northwest Territories
Charlo Airport,New Brunswick
St. Catharines/Niagara District Airport,Ontario
Cochrane Aerodrome,Ontario
Kugluktuk Airport,Nunavut
Chetwynd Airport,British Columbia
Cross Lake (Charlie Sinclair Memorial) Airport,Manitoba
Chesterfield Inlet Airport,Nunavut
Coronation Airport,Alberta
Yuncheng Guangong Airport,Shanxi
Chilliwack Airport,British Columbia
Clyde River Airport,Nunavut
Fairmont Hot Springs Airport,British Columbia
Dawson City Airport,Yukon
Burwash Airport,Yukon
Drayton Valley Industrial Airport,Alberta
Quang Ngai Airport,Qinghai
Ali Air Base,Hebei
Xining Caojiabao Airport,Burkina Faso
Xingtai Dalian Airport,Burkina Faso
Nouna Airport,Manitoba
Pama Airport,Honduras
Pukatawagan Airport,Manitoba
Soto Cano Air Base,South Dakota
Poplar River Airport,Costa Rica
Pine Ridge Airport,British Columbia
Quepos La Managua Airport,New South Wales
Qualicum Beach Airport,Inner Mongolia
RAAF Base Richmond,Yukon
Xinbarag Youqi Baogede Airport,Andalusia
Ross River Airport,United Arab Emirates
Jerez Airport,British Overseas Territory
Sir Bani Yas Airport,Nevada
South Caicos Airport,Burkina Faso
Zamora National Airport,Michoacán
Masset Airport,British Columbia
Nanaimo Harbour Water Airport,British Columbia
Nyac Airport,Alaska
Zinder Airport,Niger
Newman Airport,Western Australia
Namu Water Aerodrome,British Columbia
Abeid Amani Karume International Airport,Tanzania
Ocean Falls Water Aerodrome,British Columbia
Cañal Bajo Carlos Hott Siebert Airport ,Chile
Sachigo Lake Airport,Ontario
Pucón Airport,Chile
Zephyrhills Municipal Airport,Florida
Pinehouse Lake Airport,Saskatchewan
Queenstown Airport,New Zealand
Queen Charlotte City Water Aerodrome,British Columbia
Zweibrücken Airport,Rhineland-Palatinate
Zhangjiakou Ningyuan Airport,Hebei
Strother Field,Arkansas City
Miles Airport,Queensland
Wellington International Airport,New Zealand
Walaha Airport,Vanuatu
Selawik Airport,Alaska
Wollogorang Airport,Northern Territory
Waterloo Airport,Northern Territory
West Angelas Airport,Western Australia
Loring Seaplane Base,Alaska
Hihifo Airport,Wallis and Futuna
Willows-Glenn County Airport,California
Mandritsara Airport,Madagascar
Warrnambool Airport,Victoria
Winnemucca Municipal Airport,Nevada
Mandabe Airport,Madagascar
Mount Keith Airport,Western Australia
Ozark Regional Airport,Arkansas
Ian Fleming International Airport,Western Australia
Boolgeeda Airport,California
Oceanside Municipal Airport,Equatorial Guinea
Corisco International Airport,Colombia
Aguas Claras Airport,North Carolina
Washington–Warren Airport,Central African Republic
Ouadda Airport,Andalusia
Córdoba Airport,California
Oakdale Airport,South Australia
Oodnadatta Airport,Denmark
Hans Christian Andersen Airport,England
RAF Odiham,Central African Republic
Ouanda Djallé Airport,South Australia
Cordillo Downs Airport,Maryland
Garrett County Airport,Sarawak
Long Seridan Airport,Irkutsk Oblast
Bodaybo Airport,Western Australia
Ord River Airport,Ukraine
Maloelap Airport,Missouri
Malden Regional Airport,Senegal
Ouro Sogui Airport,Andros Island
Clarence A. Bain Airport,Puerto Rico
Eugenio María de Hostos Airport,Kenya
Moi International Airport,Western Australia
Marble Bar Airport,Gabon
Mbigou Airport,South Africa
Mahikeng Airport,Hokkaido
Monbetsu Airport,Victoria
Porepunkah Airfield,South Dakota
Mobridge Municipal Airport,Queensland
Maryborough Airport,Tanzania
Mbeya Airport,Jamaica
Gustavo Rizo Airport,Zambia
Virginia Tech Montgomery Executive Airport,Cuba
Bear Creek 3 Airport,Virginia
Bacolod–Silay International Airport,Alaska
Bryce Canyon Airport,Philippines
Bouca Airport,Utah
Bemichi Airport,Central African Republic
Baucau Airport,Guyana
Barcaldine Airport,East Timor
Bolwarra Airport,Queensland
Barra del Colorado Airport,Queensland
Bacău International Airport,Costa Rica
Barcelona–El Prat Airport,Romania
Baco Airport,Catalonia
Bambu Airport,Ethiopia
Brak Airport,Papua New Guinea
Lab Lab Airport,Papua New Guinea
Layang-Layang Airport,Sabah
Quatro de Fevereiro Airport,Angola
Lae Nadzab Airport,Papua New Guinea
Purdue University Airport,Indiana
Oesman Sadik Airport,Indonesia
Lannion – Côte de Granit Airport,Brittany
Antônio Correia Pinto de Macedo Airport,Santa Catarina
Aklavik/Freddie Carmichael Airport,Northwest Territories
Lakeland Linder International Airport,Florida
Los Alamos County Airport,New Mexico
Capital Region International Airport,Michigan
Laoag International Airport,Philippines
Manuel Márquez de León International Airport,Baja California Sur
Al Abraq International Airport,Libya
Laramie Regional Airport,Wyoming
Kariba Airport,Zimbabwe
Kamishly Airport,Syria
Kaduna Airport,Nigeria
Kake Seaplane Base,Alaska
Karato Airport,Papua New Guinea
Gangneung Air Base,South Korea
Kaieteur International Airport,Guyana
Kajaani Airport,Finland
Kar Airport,Papua New Guinea
Kaltag Airport,Alaska
Kamaran Airport,Yemen
Mallam Aminu Kano International Airport,Nigeria
Kuusamo Airport,Finland
Kapanga Airport,Democratic Republic of the Congo
Kamulai Airport,Papua New Guinea
Kamarang Airport,Guyana
Karasburg Airport,Namibia
Jabiru Airport,Northern Territory
Jackson Hole Airport,Wyoming
Jandakot Airport,Western Australia
Jaén Airport,Peru
Jaffna Airport,Sri Lanka
PAF Base Shahbaz,Pakistan
Jaipur International Airport,Rajasthan
Jacmel Airport,Haiti
El Lencero Airport,Veracruz
Bezmer Air Base,Bulgaria
Jackson–Evers International Airport,Mississippi
Chacarita Airport,Costa Rica
Jacquinot Bay Airport,Papua New Guinea
Jahrom Airport,Iran
Jasper County Airport,Texas
Jabot Airport,Marshall Islands
Francisco Carle Airport,Peru
Vienna International Airport,Austria
Juan Pablo Pérez Alfonzo Airport,Venezuela
Rolla National Airport,Vichy
Vinh International Airport,Vietnam
Virgin Gorda Airport,British Overseas Territory
Dakhla Airport,Morocco
Havryshivka Vinnytsia International Airport,Ukraine
Viqueque Airport,East Timor
Virginia Airport,South Africa
Visalia Municipal Airport,California
Vitoria Airport,Basque Country
Viru Harbour Airport,Solomon Islands
Vivigani Airfield,Papua New Guinea
Eurico de Aguiar Salles Airport,Espírito Santo
Vélizy – Villacoublay Air Base,Île-de-France
Xai-Xai Airport,Mozambique
Virginia Highlands Airport,Virginia
McConnell Air Force Base,Kansas
Washington Dulles International Airport,New York
Niagara Falls International Airport,Texas
George Bush Intercontinental Airport,Algeria
In Amenas Airport,Alaska
Bob Baker Memorial Airport,Philippines
Sayak Airport,Iran
Bahregan Airport,Yaroslavl Oblast
Tunoshna Airport,Romania
Iași International Airport,Papua New Guinea
Iaura Airport,Nigeria
Ibadan Airport,Galápagos Islands
General Villamil Airport,Colombia
Perales Airport,Papua New Guinea
Iboki Airport,Mozambique
Indigo Bay Lodge Airport,Mozambique
Ibo Island Airport,Peru
Marion County – Rankin Fite Airport,Alabama
Hachijojima Airport,Izu Islands
Halmstad Airport,Sweden
Half Moon Bay Airport,California
Prince Said Ibrahim International Airport,Comoros
Three Rivers Municipal Airport,Michigan
Hannover Airport,Lower Saxony
Haikou Meilan International Airport,Hainan
Halali Airport,Namibia
Hamburg Airport,Vietnam
Noi Bai International Airport,Ohio
Butler County Regional Airport,Haa Dhaalu Atoll
Hanimaadhoo International Airport,Pennsylvania
Capital City Airport,Saudi Arabia
Ha'il Regional Airport,Queensland
Heathlands Airport,Norway
"Haugesund Airport, Karmøy",Cuba
José Martí International Airport,Wales
Gabbs Airport,Nevada
Gracias Airport,Honduras
Northeast Alabama Regional Airport,Alabama
Gabès – Matmata International Airport,Tunisia
Gafsa – Ksar International Airport,Tunisia
Gage Airport,Oklahoma
Gayndah Airport,Queensland
Montgomery County Airpark,Maryland
Yamagata Airport,Honshu
Edward G. Pitka Sr. Airport,Alaska
Gambell Airport,Alaska
Gan International Airport,Addu Atoll
Mariana Grajales Airport,Cuba
Gusap Airport,Papua New Guinea
Gao International Airport,Mali
Garaina Airport,Papua New Guinea
Garissa Airport,Kenya
Gap–Tallard Airport,Provence-Alpes-Côte d'Azur
Farnborough Airport,England
Faaite Airport,Tuamotus
Vágar Airport,Faroe Islands
Felker Army Airfield,Virginia
Fagurhólsmýri Airport,Iceland
Farah Airport,Afghanistan
Fairbanks International Airport,Alaska
Diego Jiménez Torres Airport,Puerto Rico
False Island Seaplane Base,Alaska
Farmington Regional Airport,Missouri
Faro Airport,Portugal
Frieda River Airport,Papua New Guinea
Hector International Airport,North Dakota
Fáskrúðsfjörður Airport,Iceland
Fresno Yosemite International Airport,California
Fahud Airport,Oman
Fakarava Airport,Tuamotus
Fayetteville Regional Airport,North Carolina
Tugdan Airport,Philippines
New Bight Airport,Cat Island
Tabarka–Aïn Draham International Airport,Tunisia
Timber Creek Airport,Northern Territory
Tableland Homestead Airport,Western Australia
Tumbang Samba Airport,Indonesia
Waynesville-St. Robert Regional Airport,Missouri
Tabora Airport,Tanzania
Cap. FAP Pedro Canga Rodríguez Airport,Peru
Tarabo Airport,Papua New Guinea
Statesboro–Bulloch County Airport,Georgia
Tbilisi International Airport,Georgia
Tabatinga International Airport,Amazonas
Fuaʻamotu International Airport,Tonga
Tabal Airport,Aur Atoll
